Class	FDP	FAO	QD	FSAF	FSAR	FXX	LEN	HRUN	RBI	VARB	STB	STBP	MLLD	SSEN	SSEP	SSSB	QUAL	GQ
F	106	41	0.902371	27	14	0.0363603	2	6	0.116932	0.129491	0.816728	0	25.7658	0.422222	0	0.504163	23.9128	23
F	51	44	20.1988	12	32	0.0192271	1	5	0.348623	0.050411	0.507689	0.606	10.5583	0.398148	0.375	0	257.535	7
F	156	14	1.90178	6	8	0.0714243	18	1	0.0352733	0.0132187	0.530929	0.843	168.195	0	0	-0.077114	74.1693	45
F	17	2	35.2494	0	2	0.105208	1	1	0.140002	-0.00975631	0.5	1	14.5963	0	0	0	149.81	7
F	126	126	23.3003	43	83	0.0526276	4	3	0.0251078	2.38732e-05	0.5	1	217.194	0	0	-3.51495e-08	733.961	99
F	166	0	19.5064	0	0	0.0514256	3	3	0.454001	0	0.5	1	18.5398	0	0	0.905219	809.515	99
F	56	0	5.58003	0	0	0.0666556	2	2	0.0328531	0	0.5	1	141.537	0	0	0.322201	78.1204	19
F	31	0	9.57453	0	0	0.224944	2	8	0.140005	0	0.5	1	12.7203	0	0	0.0508469	74.2026	6
F	53	47	35.3994	47	0	0	39	2	0.572757	0.0407892	0.5	1	20.8646	0	0	0	12	99
F	350	128	9.80427	85	43	0.00284892	1	1	0.0315083	0.0133532	0.649802	0	82.7969	0	0	0.787942	857.874	99
F	128	128	38.5394	21	107	0	1	1	0.111913	0.000943564	0.5	1	77.7998	0	0	0	1233.26	58
F	27	25	35.5038	20	5	0.0999667	1	1	0.221693	-0.00405792	0.545416	0.11	29.2032	0	0	0	239.65	5
F	142	59	1.12318	15	44	0.0206882	1	1	0.029369	0.148237	0.740303	0	14.3218	0	0	-0.437098	39.8728	39
F	73	34	18.3826	2	32	0.0394685	1	15	0.168799	-0.0885618	0.5	1	3.14821	0	0	-0.192304	335.483	99
F	205	205	23.0358	45	160	0	1	0	0.124424	0.000447424	0.5	1	49.9565	0	0	-0.282935	1180.59	99
F	30	0	14.0199	0	0	0.117612	5	1	0.0220908	0	0.5	1	169.332	0	0	0.766476	105.149	53
F	92	55	16.9782	24	31	0.0515411	1	5	0.538637	0.0266836	0.5	1	9.50473	0	0	0.0767492	390.498	27
F	153	153	10.3318	30	123	0	1	5	0.0775369	-0.00490336	0.5	1	6.38578	0.404762	0	0.125363	395.19	84
F	175	175	24.6772	93	82	0.0540511	1	6	0.0774041	-0.00179288	0.5	1	10.5281	0	0.444444	-0.159908	1079.63	41
F	29	16	4.54656	11	5	0.0333222	1	2	0.101532	0.13709	0.573365	0.42	13.9318	0	0	0.290727	32.9625	13
F	72	61	24.8698	34	27	0.0769132	1	3	1.00187	-0.0361523	0.5	1	11.0732	0	0	-0.880333	447.657	10
F	58	56	15.5253	17	39	0.0169463	2	6	0.14742	-0.0141844	0.512496	0.429	18.0516	0.358491	0	-0.0451957	225.118	34
F	20	12	36.9046	0	12	0	1	1	0.0591684	0.0311362	0.5	1	26.6841	0	0	0	184.523	34
F	92	58	30.8063	0	58	0	1	4	0.172701	0.00622036	0.5	1	16.1137	0	0	0	708.545	99
F	187	101	3.2501	47	54	0.0209413	1	0	0.0228914	0.00156725	0.542619	0.207	30.3058	0	0	-0.279183	151.942	89
F	172	94	3.31947	53	41	0.039104	1	0	0.0376855	0.0499508	0.554043	0.139	198.435	0	0	-0.717361	142.737	83
F	176	31	35.0511	1	30	0	1	1	0.00489093	0.0141015	0.5	1	105.608	0	0	0	1542.25	25
F	136	136	17.4869	95	41	0.0144917	1	7	0.188525	-0.00404778	0.5	1	7.99876	0	0	-0.0532367	594.554	22
F	167	24	0.718453	13	11	0.0346801	1	7	0.0291394	0.0922196	0.573266	0.443	6.30969	0	0	0.0898233	29.9954	16
F	38	0	29.8053	0	0	0	1	4	0.448037	0.0115479	0.5	1	11.5932	0	0.365079	0	283.15	6
F	25	13	3.39435	10	3	0	1	1	0.184689	0.124955	0.512801	0.986	14.9107	0	0	0.0666957	21.2147	17
F	331	331	18.241	175	156	0.0264698	1	4	0.137383	-0.00102543	0.5	1	14.1157	0.361111	0	0.142025	1509.45	99
F	154	1	2.29517	1	0	0.104645	2	8	0.0608478	-0.089861	0.992116	0.27	11.1241	0	0	0.367316	88.3641	10
F	155	83	3.01677	50	33	0.0189861	1	0	0.0285714	-0.029471	0.586833	0.026	24.6695	0	0	-0.0709854	116.9	77
F	106	90	28.971	14	76	0.0275204	1	5	0.408965	0.0198501	0.5	1	15.1095	0	0	-0.299178	767.731	9
F	201	108	37.4239	36	72	0	1	1	0.0345341	-0.0125322	0.5	1	198.349	0	0	0	1880.55	99
F	136	136	38.4554	77	59	0.00729874	1	2	0.123329	-0.00149189	0.5	1	29.5327	0	0	0	1307.48	61
F	139	139	36.9543	60	79	0.0479419	1	2	0.203557	-0.00287541	0.5	1	23.632	0	0	0	1284.16	60
F	53	53	37.6136	26	27	0	1	1	0.0475494	4.64721e-05	0.5	1	147.434	0	0	3.83186e-08	498.38	24
F	48	45	13.3052	31	14	0	1	5	0.23138	0.0334763	0.525412	0.217	12.1324	0	0	-0.00274914	159.662	20
F	396	396	38.1	159	237	0.005025	1	1	0.0130987	0.000104982	0.5	1	76.0599	0	0	0	3771.9	99
F	236	36	5.14915	0	36	0.0634895	2	5	0.0396119	0.0691914	0.999801	0	19.9111	0	0.378947	-0.889487	303.8	54
F	15	13	12.4759	4	9	0	1	6	0.19039	0.04068	0.59984	0.122	11.6432	0	0.367347	-0.179011	46.7847	6
F	31	22	19.8166	0	22	0.0312402	1	3	0.142967	0.0816034	0.5	1	9.81019	0	0.386364	0	153.579	9
T	185	69	0.795558	30	39	0.079598	3	1	0.00235545	0.119256	0.557214	0.251	167.541	0	0	-0.0853802	36.7945	36
T	54	54	22.4313	34	20	0	1	1	0.131501	0.0033539	0.5	1	26.0891	0	0	0.0100868	302.822	64
T	206	0	15.2398	0	0	0.00483068	2	8	0.101865	-0.0914476	0.5	1	9.69101	0	0	-0.134238	784.85	99
T	120	120	22.8408	69	51	0	1	2	0.0900508	0.00130995	0.5	1	24.177	0	0	0.0552548	685.223	99
T	110	108	22.092	56	52	0.0178555	3	1	0.0654711	0.00106837	0.500337	0.863	270.552	0	0	0.000997665	607.53	99
T	89	50	2.82653	20	30	0.0219756	1	5	0.204967	-0.012571	0.539155	0.435	10.8583	0	0	-0.18109	62.8904	29
T	131	70	10.5052	27	43	0.0774593	9	1	0.0419856	0.0549605	0.54542	0.262	269.917	0	0	-0.0825097	344.044	99
T	65	34	3.51837	24	10	0	3	1	0.026785	0.00296403	0.647851	0.063	415.586	0	0	-0.308713	57.1735	42
T	79	79	23.5318	56	23	0.0124984	1	1	0.220231	0.00467204	0.5	1	30.3407	0	0	0.00510477	464.753	98
T	95	51	3.57791	18	33	0.0104156	3	2	0.00911723	-0.00561562	0.505403	0.929	349.547	0	0	-0.017178	84.9753	53
T	110	94	13.8356	45	49	0.0833264	9	1	0.0340111	0.0144919	0.548427	0.019	253.924	0	0	-0.447277	380.48	22
T	79	79	21.7985	15	64	0.048187	1	5	0.245945	-0.00187855	0.5	1	22.1069	0	0	3.55885e-08	430.521	86
T	162	162	23.092	28	134	0	2	2	0.0642174	-0.000632493	0.5	1	294.505	0	0	3.48374e-08	935.226	99
T	129	115	16.1347	52	63	0.015266	3	1	0.0694706	0.00796568	0.551655	0.001	259.789	0	0	-0.101354	520.343	47
T	400	201	2.57962	114	87	0	4	1	0.0262192	0.0131716	0.515682	0.534	263.877	0	0	-0.0454778	257.962	99
T	384	186	2.22699	79	107	0.00259734	1	3	0.121449	0.00438608	0.534025	0.162	29.2788	0	0	-0.0691297	213.791	99
T	121	121	23.6517	55	66	0.0620107	3	1	0.0913253	9.73426e-05	0.5	1	327.97	0	0	0	715.465	99
T	70	29	1.58052	14	15	0.0277739	4	1	0.0424352	-0.00274826	0.525674	0.74	192.993	0	0	0.115183	27.6591	27
T	189	58	1.8317	40	18	0.0257719	1	1	0.00338255	0.0199328	0.562418	0.275	252.583	0	0	0.146377	86.5477	20
T	29	29	10.9553	18	11	0.0333222	27	7	0.043632	0.0138785	0.5	1	6.34315	0	0	0.0661342	50	99
T	198	107	3.33819	59	48	0.0099995	1	1	0.0583999	-0.00589054	0.504201	0.91	196.19	0	0	-0.0131161	165.24	98
T	168	80	2.2512	47	33	0.0614491	4	1	0.00453529	0.0220161	0.581697	0.054	321.504	0	0	-0.0196685	94.5502	94
T	99	99	23.4588	68	31	0	1	1	0.0212911	4.01049e-05	0.5	1	109.763	0	0	0	580.606	99
T	121	121	23.0839	76	45	0.00819605	1	2	0.0851413	0.0012507	0.5	1	25.3491	0	0	-0.00199117	698.288	99
T	90	90	23.5027	48	42	0	6	1	0.0226133	9.25105e-06	0.5	1	320.79	0	0	5.519e-08	528.812	99
T	68	6	23.4778	2	4	0.105249	6	1	0.105503	0.137407	0.5	1	101.523	0	0	0	399.122	33
T	99	99	22.5409	41	58	0.108098	4	1	0.0451433	-4.92582e-05	0.5	1	196.556	0	0	-0.619397	557.888	99
T	72	71	22.4175	40	31	0.0136968	6	2	0.00685534	3.33607e-05	0.507934	0.295	348.23	0	0	0.0154986	403.514	77
T	93	93	23.5852	41	52	0.0106372	3	1	0.00403212	-3.45265e-05	0.5	1	296.957	0	0	-5.49151e-08	548.356	99
T	149	145	21.2927	97	48	0.00666622	3	2	0.0495896	0.00257847	0.5101	0.175	267.609	0	0	-0.0421031	793.154	99
T	49	20	9.01065	8	12	0.0576812	3	1	0.0261535	0.150209	0.611001	0.173	101.913	0	0	-0.234869	110.38	78
T	283	107	0.745032	19	88	0.0173605	6	2	0.0704805	0.0234611	0.633835	0.002	217.304	0	0	-0.455029	52.711	52
T	155	78	2.77302	44	34	0.00640985	9	2	0.00756268	-0.015036	0.536833	0.374	328.985	0	0	-0.0670275	50	99
T	107	58	3.6726	21	37	0.0695592	4	1	0.0229483	0.0037399	0.517782	0.702	298.543	0	0	0.0765062	98.2422	55
T	176	176	23.2718	124	52	0	1	1	0.0489243	-0.000442626	0.5	1	28.3458	0	0	3.34127e-08	1023.96	99
T	130	130	19.9634	114	16	0.00763301	1	2	0.034136	0.00104519	0.5	1	13.3756	0	0	-0.0625806	648.81	99
T	267	100	0.724723	71	29	0.00743467	9	4	0.01089	0.00766103	0.642376	0	408.01	0	0	0.324881	48.3752	48
T	183	97	2.35528	48	49	0.00543449	1	5	0.0534461	0.0394747	0.508507	0.807	13.9306	0	0	0.0317163	107.754	84
T	145	145	18.6403	81	64	0.0202689	1	3	0.0821553	-0.000116984	0.5	1	11.4248	0.365854	0	0.0129959	675.71	99
T	237	139	3.18739	64	75	0.0124995	1	5	0.0489187	0.0179566	0.509023	0.738	12.6411	0	0	-0.0997106	188.853	56
T	213	126	4.63321	68	58	0.00930189	6	0	0.0117341	0.00913665	0.523308	0.434	320.985	0	0	0.046532	246.718	63
T	34	34	23.1004	24	10	0	1	2	0.193956	0.00836079	0.5	1	23.9337	0	0	0.123546	196.354	42
T	122	122	22.4013	87	35	0.0161277	1	1	0.152868	0.00219361	0.5	1	23.763	0	0	0.0818664	683.241	99
T	202	95	22.6007	45	50	0.0560721	3	1	0.0461041	0.0278743	0.5	1	74.7747	0	0	0.329641	1141.34	99
T	189	189	23.5915	102	87	0.0104707	15	3	0.0187871	2.20103e-06	0.5	1	584.616	0	0	-4.87834e-08	1114.7	99
T	35	16	2.70763	4	12	0.0277701	3	1	0.0258765	0.0172661	0.639157	0.18	281.662	0	0	-0.336569	23.6917	23
T	179	179	23.1307	79	100	0	1	2	0.0786869	0.000220711	0.5	1	26.4873	0	0	0.00259062	1035.1	99
T	210	210	23.467	99	111	0.00473911	1	2	0.032471	-5.83797e-06	0.5	1	33.9016	0	0	0	1232.02	99
T	218	107	2.41662	34	73	0.0723374	4	1	0.0128227	0.0310824	0.583116	0.023	248.659	0	0	-0.361768	131.706	99
T	170	84	2.53164	35	49	0.01734	3	7	0.158843	-0.0194793	0.523368	0.55	33.2838	0	0	0.0594586	107.595	99
T	66	41	5.84488	10	31	0.0149231	4	1	0.0179858	0.0104941	0.556156	0.279	258.398	0	0	-0.0571777	96.4405	19
T	136	88	6.24532	29	59	0	6	2	0.0379399	0.0112104	0.517926	0.609	322.584	0	0	-0.0189519	212.341	22
T	158	158	23.5211	98	60	0.0124992	1	0	0.0207094	4.97632e-05	0.5	1	351.517	0	0	0.0161188	929.083	99
T	87	87	23.675	33	54	0.0224694	1	0	0.0061434	0.000139654	0.5	1	289.882	0	0	0	514.931	99
T	266	266	23.591	111	155	0.00374518	3	1	0.0335878	-1.18594e-05	0.5	1	334.644	0	0	0	1568.8	99
T	103	54	3.30195	35	19	0.00961446	3	1	0.017296	0.0311285	0.568972	0.157	200.383	0	0	0.127172	85.0253	62
T	74	73	22.3832	36	37	0	22	2	0.119232	0.000914557	0.506847	0.525	31.018	0	0	-0.0129584	50	99
T	296	296	23.4535	89	207	0.0133329	3	1	0.0447978	1.21919e-05	0.5	1	331.778	0	0	-0.00384403	1735.56	99
T	232	232	22.8061	109	123	0.00429166	1	1	0.142228	0.00117865	0.5	1	23.0702	0	0	-0.0128934	1322.75	99
T	133	57	1.56691	22	35	0.0148137	8	1	0.00237502	0.012331	0.544026	0.381	297.154	0	0	-0.0696848	52.0997	52
T	153	153	12.6803	98	55	0.00649309	1	6	0.204933	0.00213574	0.5	1	8.85577	0	0	-0.175462	485.023	93
T	197	192	21.3867	77	115	0	3	1	0.0250871	0.000690382	0.510494	0.082	316.254	0	0	-0.0364198	1053.3	99
T	113	113	23.5457	58	55	0.0173898	1	1	0.047844	5.92408e-07	0.5	1	237.809	0	0	-0.017568	665.167	99
T	276	270	21.0845	116	154	0.0580185	6	2	0.0401779	0.000573432	0.50893	0.061	320.01	0	0	0	1454.83	99
T	201	108	3.25516	49	59	0.00495025	1	3	0.0839342	0.00668058	0.561884	0.059	25.0695	0.339869	0	0.0939449	163.572	97
T	84	44	3.39464	26	18	0.0117633	4	1	0.0221191	-0.0131157	0.579312	0.122	206.748	0	0	0.273715	71.2874	52
T	294	156	22.7272	34	122	0.0576905	6	1	0.0561231	0.0534638	0.5	1	121.596	0	0	-0.0413196	1670.45	99
T	92	38	1.46577	13	25	0	3	0	0.0164206	0.0191315	0.627852	0.036	308.304	0	0	-0.230322	33.7127	33
T	118	48	1.34642	32	16	0.0166653	9	2	0.00735478	0.0415295	0.666597	0.005	251.526	0	0	0.295325	39.7194	39
T	193	81	1.38141	48	33	0.157198	3	1	0.0170792	0.0355662	0.50877	0.834	238.294	0	0	-0.00137178	66.6532	66
T	165	152	17.7483	76	76	0.0571396	3	2	0.217166	0.0120725	0.50909	0.463	212.61	0	0	-0.0863583	732.117	82
T	207	109	3.14781	43	66	0.0189564	4	1	0.0589088	-0.0205791	0.539369	0.274	176.96	0	0	0.0310348	162.899	99
T	290	290	23.4949	135	155	0.0235682	2	2	0.0272292	-1.63959e-05	0.5	1	134.082	0	0	-4.24274e-08	1703.38	99
T	75	69	17.7237	49	20	0.0259707	3	5	0.0268296	0.00460233	0.512088	0.542	284.646	0	0	0.167703	332.319	39
T	140	64	1.95497	43	21	0.0344804	4	1	0.0492929	0.0177	0.619385	0.023	195.865	0	0	0.217876	68.4239	68
T	118	112	19.5875	54	58	0	3	1	0.0619819	0.00255166	0.517854	0.114	243.168	0	0	0.0934906	577.831	83
T	179	175	21.5983	88	87	0.00555525	1	0	0.0529351	0.000991005	0.505523	0.419	303.046	0	0	-0.010561	966.524	99
T	251	251	23.042	151	100	0.0971188	1	2	0.0539143	0.000282528	0.5	1	25.4734	0	0	0.0908524	1445.89	99
T	268	131	2.3768	92	39	0.082189	3	2	0.0247819	0.01602	0.548078	0.156	301.424	0	0	0.0804794	159.246	99
T	227	110	2.33941	66	44	0.0130429	6	2	0.0194864	0.0228114	0.523632	0.489	318.64	0	0	0.0789069	132.761	99
T	298	298	23.5818	139	159	0.00666644	1	2	0.0591443	-0.000269785	0.5	1	35.2094	0	0	0	1756.84	99
T	253	117	1.91515	83	34	0.112277	3	2	0.042726	0.00741387	0.582441	0.011	293.242	0	0	0.157042	121.133	99
T	160	160	23.3691	71	89	0	1	2	0.0590326	-0.000656624	0.5	1	26.1591	0	0	-6.99165e-08	934.762	99
T	296	251	36.7973	105	146	0	1	1	0.172267	-0.0111245	0.5	1	27.5123	0	0	-0.00916327	2723	20
T	265	119	1.72535	51	68	0.0111936	3	3	0.0151945	0.00526569	0.533328	0.337	200.572	0	0	0.0655731	114.304	99
T	155	147	19.4536	61	86	0.0189861	3	2	0.0331808	0.00174947	0.51112	0.244	265.954	0	0	-0.0190585	753.828	99
T	257	257	23.3192	140	117	0.00772171	6	1	0.129938	0.000793301	0.5	1	28.3765	0	0	-0.0103976	50	99
T	190	90	2.19214	52	38	0.0206175	3	3	0.0229222	0.00522294	0.551875	0.187	152.544	0	0.336103	0.0976538	104.127	99
T	291	139	1.52225	70	69	0.0202013	1	5	0.0538545	-0.000398397	0.518743	0.529	13.7942	0.358974	0	-0.0338982	110.744	99
T	223	102	1.86362	40	62	0.0176204	6	0	0.0219109	0.00929933	0.548564	0.179	345.28	0	0	-0.0988095	103.897	99
T	245	131	3.32198	75	56	0.0120963	3	3	0.0154072	-0.00321519	0.554433	0.062	159.718	0	0.336103	0.0997433	203.471	99
T	54	54	23.1601	35	19	0.0847314	3	1	0.0705098	0.000370188	0.5	1	157.242	0	0	0	312.661	66
T	239	128	3.32172	68	60	0.0284541	6	3	0.0550891	0.0683263	0.591214	0.003	139.783	0	0	0.148212	50	99
T	80	33	1.5136	10	23	0	3	1	0.0309204	0.0186406	0.549831	0.529	259.163	0	0	0.340909	30.272	30
T	150	150	23.3941	72	78	0.00662208	1	1	0.0885592	0.000977032	0.5	1	27.4227	0	0	0	877.277	99
T	54	30	4.14595	19	11	0.0357079	3	1	0.0186196	0.0162004	0.561655	0.319	238.05	0	0	0.257727	55.9704	30
T	91	89	21.7743	38	51	0.116494	2	1	0.239132	0.00657283	0.509613	0.232	64.9701	0	0	0.029269	495.366	89
T	174	174	13.3042	76	98	0	1	4	0.249312	-0.0111543	0.5	1	8.61484	0	0	0.0402636	578.734	99
T	284	284	23.5736	126	158	0.00350865	1	0	0.0131828	8.71051e-06	0.5	1	333.819	0	0	0.00611276	1673.72	99
T	339	111	7.27924	61	50	0.00294109	3	1	0.00704058	0.0295556	0.583918	0.02	198.777	0	0	-0.295025	616.916	99
T	43	23	3.90499	10	13	0.0227221	3	1	0.00118546	0.0354421	0.576546	0.3	232.092	0	0	0.0759084	41.9787	28
T	399	399	23.4651	218	181	0.00249994	1	2	0.0628549	-0.000203484	0.5	1	32.4844	0	0	0	2340.65	99
T	122	115	19.1964	54	61	0.00812942	3	1	0.0270537	0.0025325	0.514067	0.219	219.469	0	0	0.0284792	585.49	80
T	99	99	23.605	57	42	0.0388312	3	1	0.0612109	0.00020974	0.5	1	182.991	0	0	0	584.223	99
T	102	102	22.4643	60	42	0.0097078	1	1	0.0744077	0.00131835	0.5	1	25.2796	0	0	0.0146903	572.839	99
T	84	84	23.5617	61	23	0.0232531	10	1	0.0327596	1.43529e-05	0.5	1	310.861	0	0	0	494.796	99
T	84	83	21.4625	43	40	0.0117633	1	1	0.14091	0.00176852	0.505746	0.516	22.3546	0	0	-0.0100282	450.712	86
T	186	186	23.6348	92	94	0.0106377	2	1	0.0529651	-3.79065e-06	0.5	1	151.542	0	0	0	1099.02	99
T	202	107	22.6007	39	68	0.0560721	6	1	0.0334935	0.0481956	0.5	1	143.912	0	0	0.173705	1141.34	99
T	14	14	23.7697	9	5	0	1	1	0.0254794	-9.84094e-05	0.5	1	295.796	0	0	0	83.194	18
T	375	191	2.75042	80	111	0.0624984	1	0	0.0169585	-0.000952336	0.526961	0.27	144.41	0	0	-0.0491218	257.852	99
T	105	59	4.09798	22	37	0.0948194	4	1	0.0237602	-0.00269866	0.508588	0.87	298.255	0	0	0.0131761	107.572	47
T	80	77	20.7239	37	40	0	3	1	0.0553106	0.000661622	0.519475	0.124	233.524	0	0	0.225	414.479	67
T	239	128	3.32172	68	60	0.0284541	3	3	0.0550891	0.0683263	0.591214	0.003	139.783	0	0	0.148212	198.473	99
T	134	121	16.6319	27	94	0.0218962	3	3	0.0645632	0.00665086	0.588333	0	249.604	0	0	0	557.168	53
T	259	86	0.402707	29	57	0.00384601	6	2	0.0321172	0.020945	0.639949	0.001	185.92	0	0	-0.337201	26.0753	26
T	128	128	21.9861	88	40	0	1	2	0.00627521	0.000271044	0.5	1	19.6166	0	0	-0.0575426	703.556	99
T	276	276	23.5552	121	155	0.00719399	3	1	0.0448975	2.59317e-05	0.5	1	199.929	0	0	-4.65514e-08	1625.31	99
T	200	190	19.4464	118	72	0.00497488	3	1	0.0955938	0.000988016	0.501117	0.899	301.262	0	0	0.0613642	972.321	99
T	211	205	21.1382	91	114	0	3	2	0.0572753	0.00235714	0.501615	0.778	245.44	0	0	-0.0180077	1115.04	99
T	66	66	23.5171	28	38	0.0833218	5	2	0.0409884	6.3999e-05	0.5	1	335.287	0	0	0	388.032	81
T	95	52	3.81762	16	36	0.0404	3	2	0.00780404	0.00684241	0.50943	0.87	326.937	0	0	-0.0126476	90.6684	48
T	272	148	3.44471	80	68	0.0144922	1	3	0.0889376	-0.00504973	0.511181	0.716	25.2449	0	0	0.0139603	234.24	99
T	105	103	21.9847	76	27	0	4	3	0.00623363	0.000870972	0.505822	0.531	338.433	0	0.346154	0	577.098	99
T	300	287	19.9052	159	128	0.0131575	15	1	0.0793058	0.00351601	0.516237	0.009	276.961	0	0	-0.106299	50	99
T	133	73	3.74113	41	32	0	2	5	0.0529228	-0.00284556	0.543035	0.277	34.1868	0	0	0.03844	124.393	62
T	277	271	21.11	154	117	0.0513681	3	1	0.0795036	0.000888227	0.505178	0.278	300.741	0	0	-0.0870584	1461.87	99
T	221	221	23.206	112	109	0	1	1	0.112331	0.000840589	0.5	1	31.1868	0	0	0.00011813	1282.13	99
T	77	76	22.5845	52	24	0.0374953	3	1	0.0429319	0.00015448	0.504761	0.606	243.786	0	0	-0.00918851	434.751	83
T	125	125	22.8177	81	44	0.00793588	1	1	0.179404	0.000280199	0.5	1	24.3816	0	0	-0.0742825	713.054	99
T	43	19	2.29297	11	8	0	3	1	0.0409239	0.0334388	0.575759	0.422	213.897	0	0	-0.133281	24.6494	24
T	121	53	1.73391	23	30	0.00819605	3	2	0.0216747	0.0188981	0.572927	0.195	207.025	0	0	0.125242	52.4507	52
T	115	60	3.26157	34	26	0.115376	12	1	0.0187898	0.0230504	0.525244	0.572	263.776	0	0	0	93.7701	67
T	69	5	23.508	1	4	0.0920931	6	1	0.131372	0.116788	0.5	1	66.8117	0	0	0	405.514	40
T	191	103	3.24186	61	42	0	1	2	0.0931081	-0.00635071	0.543281	0.201	22.8567	0	0	0.0803161	154.799	88
T	108	105	20.8545	51	54	0.00917347	3	4	0.0105385	-0.000127446	0.505028	0.485	335.198	0	0	-0.00151882	563.07	94
T	31	21	21.2015	14	7	0.0605877	2	0	0.0218759	-0.00577287	0.533301	0.246	154.046	0	0	0.114826	164.312	5
T	104	96	17.9706	48	48	0.0095229	3	1	0.0121497	7.56355e-06	0.538454	0.006	317.176	0	0	0.0741652	467.234	55
T	248	112	1.78041	60	52	0.0274499	3	2	0.017849	-0.00558582	0.519627	0.593	288.388	0	0	0.0569889	110.385	99
T	214	106	2.54367	57	49	0.00925883	4	2	0.0117575	0.00884478	0.537446	0.274	329.822	0	0	-0.0632166	136.087	99
T	274	274	23.3002	122	152	0.0249101	3	1	0.0375914	-2.43687e-05	0.5	1	353.626	0	0	0	1596.06	99
T	396	396	22.9733	201	195	0.00999975	1	2	0.0449294	-0.000140372	0.5	1	26.8832	0	0	-0.00674601	2274.35	99
