Class	BaseQRankSum	ReadPosRankSum	DP	FS	MQ	MQRankSum	QD	SOR	QUAL	GQ
F	-0.115	-1.258	100	1.361	60	0	2.18	1.085	128.73	99
F	-0.849	0.354	188	0	59.58	-0.813	8.62	0.627	1025.73	99
F	-0.919	0.063	57	7.899	58.6	0.171	4.49	0.042	152.73	99
F	1.299	0.811	32	0	60	0	13.71	1.609	397.73	99
F	0.876	0.366	12	0	60	0	7.86	1.022	70.73	99
F	-1.32	1.572	10	0	60	1.197	29.33	3.258	422.73	33
F	1.28	-1.036	75	3.186	60	0	4.44	0.235	217.73	99
F	0.538	-0.794	19	0	60	0	5.14	1.08	61.73	99
F	0	-1.005	21	10.62	58.13	-1.807	3.51	3.238	66.73	99
F	0.078	-0.508	17	2.796	60	0	3.52	0.939	52.73	90
F	0.074	-4.679	81	1.235	60	0	3.46	0.403	238.73	99
F	0.893	-4.445	107	135.5	59.55	-2.044	4.22	5.781	379.73	99
F	0.696	-0.798	17	2.846	60	0	5.4	1.981	91.73	99
F	-0.46	-4.796	143	0	60	0	6.18	0.77	667.73	99
F	1.96	0	15	5.229	60	0	1.11	0.035	11.08	48
F	-2.362	-0.352	14	0	59.86	0.349	0.92	1.371	10.17	47
F	0.856	1.397	60	0	60	0	0.24	0.866	13.91	51
F	-2.347	-2.194	40	10.274	59.58	0	0.44	2.215	16.82	54
F	-1.121	-8.155	116	0	60	0	0.99	0.65	114.73	99
F	-1.433	-1.005	49	8.994	60	0	25.34	0.138	1165.73	99
F	0.223	-1.347	45	0	60	0	2.84	0.616	93.73	99
F	2.214	-2.181	31	3.859	60	0	0.55	0.083	12.01	49
F	0.627	0.129	119	2.264	60	0	0.11	1.421	10.17	47
F	-0.21	-0.21	6	0	60	0	2	1.179	12.01	49
F	1.498	-1.04	35	0	59.52	0	2.31	0.836	57.73	95
F	0	0	4	0	60	0	8.25	0.223	24.75	27
F	1.211	0.687	79	2.295	59.03	-6.051	0.36	1.554	27.74	65
F	2.193	-1.771	76	0	59.78	0	5.2	0.387	223.73	99
F	0.771	-1.213	175	8.944	59.9	0	0.33	0.149	45.73	83
F	-0.754	-1.467	112	1.415	59.87	0.426	1.48	0.338	122.73	99
F	-0.674	-1.242	8	0	60	0	2.23	0.307	17.8	55
F	-0.845	0.175	165	8.977	60	0	1.59	0.097	217.73	99
F	0.83	-0.615	19	7.858	60	0	19.78	3.312	375.73	99
F	0.282	-0.431	12	4.228	60	0	2.18	0.061	21.76	59
F	0.262	0.735	86	0	57.33	0	28.71	2.239	4373.73	99
F	-1.149	-1.44	99	0	60	0	2.37	0.826	144.73	99
F	-0.095	-0.699	195	2.204	60	0	0.08	1.082	15.85	53
F	-1.055	-1.951	136	3.087	59.58	1.753	8.17	0.197	579.73	99
F	-0.892	-0.029	149	0.874	60	0	4.04	0.565	440.73	99
F	-1.723	1.141	66	10.857	54.7	-7.302	9.89	2.593	553.73	99
F	2.171	-1.743	172	6.233	60	0	1.21	1.426	143.73	99
F	1.061	-1.014	68	1.421	59.93	0	19.71	0.422	985.73	99
F	-4.153	-0.219	198	21.425	60	0	6.43	1.066	1259.73	99
F	1.883	-1.854	96	0	59.77	-1.978	0.88	0.809	62.73	99
F	1.917	-7.433	166	1.578	60	0	2.6	0.527	421.73	99
F	-0.545	-2.241	51	4.087	59.92	-0.75	15.07	2.448	617.73	99
F	0.912	1.388	83	0	59.83	1.386	28.26	0.742	3751.73	99
F	0.471	0.888	19	4.752	58.72	-0.722	15.98	1.815	271.73	99
F	-0.039	-1.704	58	7.585	60	0	5.16	0.144	242.73	99
F	0.735	1.325	23	0	60	0	0.73	0.582	16.82	54
F	-0.978	1.852	68	3.831	60	0	1.46	1.721	75.73	99
F	-0.338	0.085	38	2.021	60	0	1.39	0.293	45.73	83
F	0.431	-1.383	5	0	60	0	6.69	0.693	26.74	64
F	-0.89	-4.226	124	61.804	59.11	-3.522	5.29	6.615	486.73	99
F	1.201	0.685	99	7.784	60	0	15.35	0.18	1243.73	99
F	-1.142	0.857	294	0.77	60	0	1.14	0.558	272.73	99
F	-1.32	1.572	122	7.364	59.36	1.197	8.84	3.007	406.74	99
F	0.131	-2.364	183	0	60	0	0.08	0.646	11.08	48
F	-0.844	1.397	15	0	60	0	1.07	0.551	13.91	51
F	-2.343	-5.017	2	0	60	-2.483	19.35	0.693	38.7	6
F	-1.387	0.471	74	7.202	60	0	0.53	0.013	29.74	67
F	0.094	-7.509	260	0.68	60	0	0.82	0.77	196.73	99
F	1.191	-4.697	79	3.227	60	0	0.21	0.246	15.85	53
F	1.317	-1.069	141	0	60	0	0.46	0.495	51.73	89
F	0.358	0.255	122	2.45	60	0	2.42	1.047	234.73	99
F	0.211	-2.082	181	0	60	0	28.63	0.761	8079.73	99
F	1.186	-1.314	33	8.129	60	0	1.06	0.033	15.85	53
F	1.031	-0.305	143	0	60	0	5.31	0.69	620.73	99
F	1.244	0.355	47	0	59.86	0	12.41	0.705	533.73	99
F	-0.753	-2.928	77	5.922	60	0	1.81	0.14	97.73	99
F	-1.925	-2.25	93	0	50.92	-3.247	16.98	0.693	237.73	99
F	-0.562	-6.972	265	0.646	60	0	2.22	0.613	515.73	99
F	1.843	0.751	61	3.035	60	0	1.97	0.842	94.73	99
F	2.066	-0.43	47	0	60	0	3.53	0.836	144.73	99
F	2.238	1.119	45	0	60	0	0.5	0.586	11.08	48
F	2.135	-6.929	126	25.429	58.45	-6.45	3.41	3.72	408.73	99
F	-3.908	-0.258	64	39.194	60	0	8.25	5.548	486.73	99
F	1.574	0.116	46	2.527	59.17	1.711	4.44	1.721	111	99
F	-1.302	-0.392	128	0	60	0	1.09	0.672	121.73	99
F	-0.696	-0.034	77	9.491	60	0	18.74	0.42	1442.73	99
F	-1.224	-0.699	66	3.132	60	0	5.58	2.147	150.73	99
F	-0.078	-2.304	163	1.06	59.9	0	3.41	0.859	395.73	99
F	0.6	-5.31	240	1.501	60	0	1.32	0.515	270.73	99
F	1.097	-4.55	118	71.05	60	0	2.68	5.667	222.73	99
F	0.933	-1.115	59	0	59.28	0	7.85	0.407	321.73	99
F	1.741	0.058	53	0	60	0	2.35	0.534	98.73	99
F	1.121	-2.707	104	5.781	60	0	1.38	0.03	103.73	99
F	1.056	-3.106	99	0	60	0	2.51	0.747	195.73	99
F	2.183	0.517	46	8.917	59.75	0	2.65	2.476	108.73	99
F	2.098	1.146	347	9.056	59.23	-4.431	18.96	0.048	2635.73	99
F	-0.474	-1.2	65	1.853	59.93	0	1.7	0.293	69.73	99
F	1.196	0.913	81	0	59.75	0	5.52	0.848	264.73	99
F	2.263	-6.535	135	6.401	58.73	-5.615	3.91	1.007	472.73	99
F	1.663	-1.446	40	2.758	60	0	0.69	0.169	22.75	60
F	-2.934	-0.882	76	0	59.89	-1.115	16.02	0.744	1217.73	99
F	1.744	-0.103	43	14.393	60	0	2.3	0.01	73.73	99
F	-0.235	2.862	295	0	56.4	-8.171	13.53	0.678	3706.73	99
F	0.377	-0.041	93	8.849	59.16	-1.671	19.29	0.194	1446.73	99
F	0.158	0.956	94	0	60	0	1.81	0.565	99.73	99
F	-0.647	-0.193	85	5.843	60	0	18.57	0.291	1578.73	99
F	-0.467	-0.964	160	0	60	0	28.51	0.941	7178.73	99
F	-0.895	-1.089	147	8.851	59.92	0	0.11	0.105	13.91	51
F	-0.063	-3.565	70	28.068	59.48	-1.865	5.27	5.058	305.73	99
F	-0.822	0.141	50	0	59.67	0	8.47	0.392	355.73	99
F	-0.313	-1.313	64	1.354	60	0	0.52	0.941	32.73	70
F	2.165	-2.294	174	4.546	59.9	0	1.53	0.237	171.73	99
F	-0.027	-3.975	112	1.047	60	0	0.5	0.499	53.73	91
F	-0.81	1.747	113	1.106	60	0	3.03	0.814	272.73	99
F	0.629	-0.358	65	6.667	60	0	1.08	2.101	61.73	99
F	1.482	-0.409	43	3.212	60	0	2.07	0.132	78.73	99
F	0.97	-1.514	93	0	60	0	0.98	0.412	71.73	99
F	-0.442	-2.091	308	0	60	0	1.59	0.684	464.73	99
F	1.13	-0.939	43	2.057	60	0	0.87	0.26	28.74	66
F	-0.113	1.617	65	0	59.65	0.727	3.72	0.646	111.73	99
F	0.088	-3.137	73	1.342	60	0	3.37	1.078	198.73	99
F	-0.259	-0.648	66	5.474	60	0	2.31	0.105	94.73	99
F	-0.884	-3.059	49	0	58.31	-5.642	2.47	0.798	118.73	99
F	-0.551	-1.209	52	6.021	60	0	1.75	0.025	64.73	99
F	1.323	-0.685	141	10.297	59.83	-1.957	3.14	3.114	357.73	99
F	0.609	-5.61	124	2.197	60	0	2.3	0.979	284.73	99
F	0.906	-1.085	102	2.409	60	0	0.67	1.341	55.73	93
F	-0.709	-0.762	245	2.378	60	0	0.5	0.503	116.73	99
F	-0.222	-2.548	145	5.962	59.65	-1.173	4.98	0.528	512.73	99
F	-1.068	2.88	380	26.588	55.23	-14.799	14.71	1.729	4500.73	99
F	2.157	-0.41	72	11.317	60	0	0.31	0.015	17.8	55
F	-0.993	-1.634	23	0	60	0	0.99	0.941	16.82	54
F	0.663	-1.207	156	4.38	60	0	14.33	0.399	1848.73	99
F	-2.406	-2.948	37	7.99	60	0	5.72	2.964	211.73	99
F	0.098	-0.014	146	6.329	60	0	0.52	0.221	58.73	96
F	0.658	0.982	41	2.507	60	0	1.6	1.262	49.73	87
F	-2.343	-5.017	94	131.986	59.98	-2.483	1.85	5.13	162.73	99
F	-1.531	-0.087	31	2.481	60	0	0.91	1.015	22.75	60
F	-0.016	-2.143	51	3.872	60	0	2.36	0.223	110.73	99
F	1.3	-1.496	40	2.198	52.97	-1.152	1.46	1.609	46.73	84
F	-0.331	-0.577	72	7.605	60	0	1.33	0.08	67.73	99
F	-0.435	-1.367	106	0	60	0	1.98	0.576	134.73	99
F	-0.79	-3.497	41	0	60	0	2.94	0.714	114.73	99
F	-1.253	-1.077	100	0.997	59.75	-0.99	16.58	0.551	1608.73	99
F	0.874	-5.262	64	4.13	60	0	2.54	1.352	162.73	99
F	1.631	1.841	87	3.402	60	0	5.57	1.508	261.73	99
F	2.81	-1.397	80	0	60	0	19.77	0.795	1561.73	99
F	-0.673	1.353	139	34.114	58.79	-11.425	0.1	3.227	12.96	50
F	0	-1.659	100	0	60	0	1.84	0.919	121.73	99
F	-1.649	-4.592	144	222.553	59.83	-4.172	1.83	6.089	246.73	99
F	-0.149	-2.733	61	0	60	0	1.49	0.204	47.73	85
F	-0.667	-2.27	37	11.214	60	0	4.71	3.278	169.73	99
F	0.239	0.139	127	1.708	60	0	14.14	0.518	1738.73	99
F	1.242	1.668	60	0	59.44	-0.524	6.47	1.085	64.73	53
F	-0.671	0.928	72	0	60	0	33.12	0.749	3241.73	99
F	-0.864	-0.138	65	3.886	59.74	0	2.54	0.525	88.73	99
F	0.324	-2.388	132	8.448	60	0	4.62	0.151	378.73	99
F	-4.174	1.114	112	6.316	55.67	-9.449	5.62	0.934	618.73	99
F	-0.441	-0.386	74	0	60	0	2.04	0.482	99.73	99
F	-0.713	0.535	41	0	60	0	2.57	0.173	79.73	99
F	1.285	1.983	65	7.722	60	0	0.64	1.098	34.73	72
F	-0.227	0.069	72	0	60	0	2.21	0.437	103.73	99
F	-0.63	0.069	26	0	60	0	3.25	0.26	48.73	86
F	1.014	1.97	114	0	58.74	-3.871	20.57	0.743	925.73	99
F	1.01	-0.446	43	0	60	0	33.19	1.312	1877.73	99
F	-0.048	-1.035	20	0	58.61	-0.589	26.54	1.493	477.73	99
F	-1.122	-2.222	133	1.376	60	0	0.47	0.945	49.73	87
F	0.92	0.035	56	4.973	59.51	0	2.24	0.047	71.73	99
F	-2.022	-3.217	98	5.012	59.83	0	1.8	2.322	109.73	99
F	0.127	-2.383	54	14.654	60	0	2.85	0.014	99.73	99
F	0.932	0.604	97	0	60	0	1.25	0.555	112.73	99
F	-0.083	2.447	118	3.659	60	0	0.4	1.343	32.73	70
F	1.802	0.115	153	11.83	57.8	-6.186	0.17	3.089	24.75	62
F	1.673	0.965	164	16.517	58.96	-4.039	18.27	0.067	1424.73	99
F	-2.117	-1.719	75	6.246	59.74	0.696	3.02	1.964	114.73	99
F	-1.55	-0.717	335	0	60	0	0.12	0.707	37.73	75
F	0.828	0.085	26	2.483	60	0	3.49	0.169	76.73	99
F	1.442	-1.495	128	1.105	59.85	0	5.81	0.509	493.73	99
F	-0.712	-0.566	11	0	60	0	9.68	0.148	67.73	99
F	1.359	-0.712	74	17.719	60	0	8.74	1.324	506.73	99
F	-2.21	-0.694	43	5.453	55.5	-5.693	9.65	2.215	337.73	99
F	0.87	-1.163	41	7.453	60	0	0.72	0.05	23.75	61
F	1.111	1.242	293	0	59.97	0	27.71	0.8	13192.7	99
F	0.023	-0.49	50	4.323	60	0	3.87	1.17	131.73	99
F	0.046	1.225	277	6.546	60	0	1.29	1.305	333.73	99
F	-0.839	-4.241	33	3.22	60	0	6.05	0.741	193.73	99
F	0.242	-2.352	74	0	60	0	1.71	0.082	105.73	99
F	-0.295	-1.767	129	0	60	0	29.18	5.119	4619.73	99
F	0.996	-1.652	66	0	59.75	0	1.29	0.495	60.73	98
F	-0.838	0.024	335	6.043	59.87	0	0.37	0.155	74.73	99
F	-1.409	-6.427	220	1.433	60	0	1.44	0.554	306.73	99
F	-0.259	-1.901	187	21.63	60	0	2.08	3.412	280.73	99
F	-0.591	-1.622	87	0	59.97	0	2.42	0.741	125.73	99
F	1.163	0.89	128	0.931	59.9	-1.08	16.56	0.912	1539.73	99
F	0.172	0.22	18	0	60	0	3.52	1.179	52.73	90
F	-2.384	-0.639	97	4.899	59.83	0	0.39	1.696	30.73	68
F	-3.07	-5.183	4	0	60	-2.295	19.42	2.833	58.25	9
F	-0.674	-1.036	6	3.979	60	0	2.03	0.061	10.17	47
F	0.964	0.668	39	1.681	60	0	2.97	1.089	115.73	99
F	-0.314	-0.393	161	0.896	57.82	-9.296	4.47	0.506	697.73	99
F	-0.978	-0.679	74	0	60	0	0.22	0.856	13.91	51
F	-0.557	1.221	10	0	60	0	2.28	0.693	22.75	60
F	0	-0.42	33	0	60	0	7.12	0.904	163.73	99
F	-1.367	-2.099	103	0	60	0	0.15	0.432	12.96	50
F	-0.153	-1.125	60	2.372	60	0	12.7	0.232	685.73	99
F	-0.55	-3.432	132	5.834	59.96	0	1.58	1.502	171.73	99
F	-2.865	-2.155	43	15.578	60	0	8.43	3.442	328.73	99
F	1.476	0.85	47	4.771	58.94	0	1.43	0.052	38.73	76
F	-3.132	-6.519	70	109.384	59.6	-1.795	12	6.993	791.73	99
F	1.874	2.524	236	0.69	57.26	-12.105	5.25	0.791	1218.73	99
F	0.434	-8.496	239	0	60	0	0.21	0.778	31.73	69
F	1.284	0.031	68	6.416	60	0	3.06	1.673	180.73	99
F	0.479	-1.144	37	6.308	60	0	1.03	0.074	25.74	63
F	-2.397	-0.409	53	2.96	59.68	-1.166	5.47	1.802	218.73	99
F	0.689	-2.153	134	1.6	59.88	0	1.13	0.299	117.73	99
F	0	-0.297	22	3.736	60	0	1.07	0.086	13.91	51
F	0.858	-0.136	108	1.9	58.59	0	1.98	1.112	120.73	99
F	-1.625	-2.603	42	11.663	60	0	2.74	0.011	109.73	99
F	-1.077	-4.699	152	109.475	59.79	-3.529	0.7	4.97	105.73	99
F	0.234	-0.428	343	2.83	60	0	0.73	0.717	203.73	99
F	-1.981	-0.431	7	0	60	0	1.72	0.446	12.01	49
F	-1.368	-3.188	310	11.979	59.4	-1.029	0.33	2.303	49.73	87
F	-1.26	2.148	129	6.922	60	0	0.24	2.311	25.74	63
F	0.55	-2.604	133	1.24	59.87	0.597	2.32	0.479	217.73	99
F	0.076	-2.691	107	0	60	0	1.2	0.091	104.73	99
F	-0.977	-0.109	309	2.603	60	0	2.94	0.99	657.73	99
F	-1.247	-0.264	73	2.68	59.76	-0.375	2.52	1.981	120.73	99
F	2.184	-4.885	57	20.166	56.1	-6.953	2.49	4.167	124.73	99
F	2.42	-7.612	146	3.902	59.07	-6.406	4.96	1.27	684.73	99
F	0.774	-0.83	69	10.802	60	0	1.77	2.251	79.73	99
F	-3.07	-5.183	106	204.234	59.96	-2.295	9.4	6.735	958.73	99
F	-0.186	-9.137	294	1.447	60	0	2.74	0.54	657.73	99
F	-1.26	2.59	319	2.125	60	0	0.84	0.53	242.73	99
F	0.232	0.038	142	0	59.82	0	29.73	0.862	6016.73	99
F	1.103	-1.287	113	3.073	59.85	0	0.57	1.253	40.73	78
F	0.297	-2.767	69	1.688	59.53	0	2.4	0.307	112.73	99
F	1.455	0.126	46	3.226	59.96	0	0.44	0.122	14.87	52
F	1.751	0.435	164	1.858	60	0	0.47	0.912	76.73	99
F	1.994	0.804	323	4.945	59.64	-1.19	0.66	0.044	132.73	99
F	-0.123	-0.565	148	0	59.89	0	1.62	0.653	100.73	99
F	1.114	0.97	109	14.185	60	0	2.46	3.033	186.73	99
F	-2.262	-5.976	247	0.565	60	0	4.85	0.643	1106.73	99
F	0.976	-1.896	68	0	60	0	3.15	0.382	144.73	99
F	-0.598	-1.18	176	0	60	0	26.48	0.863	7946.73	99
F	0.113	-0.443	202	3.34	59.79	0	4.6	0.38	510.73	99
F	0.779	0.104	26	0	60	0	6.24	0.976	124.73	99
F	0.59	-3.387	66	0	60	0	2.8	0.639	173.73	99
F	1.315	-3.155	72	8.751	60	0	1.14	2.387	62.73	99
F	-0.46	-0.214	418	0	60	0	35.65	1.469	18413.7	99
F	0.372	1.212	149	0	59.58	0.853	2.03	0.595	212.73	99
F	-0.287	0.277	15	0	60	0	0.79	0.223	11.08	48
F	0.049	-2.021	47	6.487	60	0	0.9	0.072	29.74	67
F	-0.916	0.456	22	0	60	0	1.65	0.502	34.73	72
F	0.151	-0.424	131	7.331	60	0	1.44	1.876	155.73	99
F	-2.415	-2.328	52	13.043	60	0	5.67	3.334	294.73	99
F	1.605	-1.97	139	0	59.92	-1.021	34.6	0.569	1833.73	99
F	0.175	-2.003	70	0	60	0	5.3	0.546	259.73	99
F	-1.091	-1.023	28	4.506	60	0	2.13	0.16	44.73	82
F	0.021	1.476	124	1.134	59.65	1.048	1.26	0.439	155.73	99
F	1.597	0.992	123	2.669	59.34	0	1.62	1.197	137.73	99
F	2.094	0.651	24	10.263	60	0	0.6	3.244	12.01	49
F	1.629	-6.263	97	0	60	0	4.04	0.606	355.73	99
F	1.043	-1.35	119	1.252	60	0	1.11	0.464	108.73	99
F	1.68	-0.509	141	1.422	59.88	0	0.8	0.955	64.73	99
F	0.125	-0.935	153	1.707	59.86	0.636	2.09	0.254	219.73	99
F	0.083	-2.827	55	1.368	60	0	1.57	0.664	76.73	99
F	0	-1.517	79	0	60	0	3.03	0.192	172.73	99
F	-0.109	1.403	48	0	59.39	0	0.68	0.648	23.75	61
F	-0.217	-1.948	45	6.601	58.55	-3.13	11.82	1.72	531.73	99
F	0.464	-0.047	62	1.784	60	0	0.93	1.364	43.73	81
F	0.539	-1.339	158	0	59.43	0	4.97	0.634	486.73	99
F	-1.069	-1.426	137	0	59.1	-3.655	16.46	0.632	2222.73	99
F	1.598	0.089	106	0	59.74	0	1.22	0.671	92.73	99
F	-0.467	-0.964	25	2.291	60	0	1.25	1.08	28.74	66
F	-0.582	-0.94	89	0	59.81	0	3.25	0.404	194.73	99
F	0.302	0.638	156	3.339	58.31	-10.753	0.58	1.305	86.73	99
F	0.759	-0.463	135	0	60	0	1.05	0.61	113.73	99
F	0.134	-4.525	55	1.243	60	0	3.86	0.495	200.73	99
F	-0.821	-2.642	83	0	60	0	7.63	0.412	335.73	99
F	-0.932	0.788	97	4.42	60	0	2.05	0.261	157.73	99
F	1.048	-1.397	48	3.9	60	0	5.85	0.1	169.73	99
F	-7.61	0.804	180	0	60	0	19.51	0.789	3335.73	99
F	2.405	-0.408	54	2.551	60	0	2.17	0.196	84.73	99
F	1.013	0.748	35	0	60	0	2.46	0.473	51.73	89
F	-2.228	-0.672	76	0	59.78	0	2.52	0.646	115.73	99
F	-1.47	-4.055	151	0	58.64	-4.791	17.52	0.671	1664.73	99
F	0.123	-1.095	64	0	57.8	-3.952	0.87	0.829	55.73	93
F	2.274	-0.465	95	0	59.82	-0.923	5.35	0.693	181.73	99
F	-0.531	1.942	77	7.125	54.3	-8.091	11.79	1.942	813.73	99
F	-0.378	-0.566	48	4.468	60	0	1.44	2.066	44.73	82
F	1.86	-0.055	248	0	59.63	0	0.51	0.816	73.73	99
F	0.217	-1.096	52	2.079	60	0	3.94	0.289	145.73	99
F	-0.126	-3.099	23	0	54.52	-3.745	8.59	0.392	171.73	99
F	-2.617	0.118	45	0	60	0	0.72	0.343	25.74	63
F	-0.184	0.44	53	1.987	60	0	2.91	1.609	107.73	99
F	-0.113	-0.306	16	0	60	0	1.07	0.33	13.91	51
F	-0.373	-1.763	111	0	59.78	0	0.85	0.804	71.73	99
F	-0.315	-0.692	86	0	60	0	1.01	0.546	82.73	99
F	-0.632	3.21	107	0	56.23	-8.546	5.07	0.744	496.73	99
F	-0.155	-1.974	49	0	60	0	1.19	0.283	41.73	79
F	-0.035	-2.557	88	5.211	60	0	1.38	0.122	78.73	99
F	0.224	-1.185	222	0	58.38	-4.44	0.39	0.627	34.73	72
F	1.27	-1.038	112	1.134	60	0	0.46	0.954	40.73	78
F	0.66	1.097	13	3.09	60	0	1.8	0.132	19.78	57
F	0.347	-5.243	161	1.869	60	0	2.22	0.462	324.73	99
F	-3.04	-0.517	99	0	53.26	-3.875	0.26	0.74	24.75	62
F	1.848	0.702	99	11.274	60	0	0.22	0.397	17.8	55
F	-1.739	-1.561	217	0	60	0.694	27.94	0.809	9645.73	99
F	0.589	-0.508	54	2	60	0	0.84	0.273	37.73	75
F	-0.459	1.292	105	0	60	0	0.67	0.506	70.73	99
F	-1.055	0.48	202	0.857	60	0	0.54	0.57	105.73	99
F	1.78	-0.212	20	0	60	0	6.12	0.188	85.73	99
F	0.605	-5.481	60	2.79	60	0	2	1.153	115.73	99
F	1.726	0.637	295	3.382	60	0	4.14	1.196	567.73	99
F	0.866	-1.763	40	2.087	60	0	3.4	1.7	115.73	99
F	-0.412	-0.136	44	1.9	60	0	4.61	0.275	133.73	99
F	-0.295	1.575	49	0	60	0	15.82	0.61	474.73	89
F	-1.869	-2.974	38	3.68	59.58	0.566	1.34	0.105	18.79	56
F	1.336	-1.54	69	12.126	59.73	0.667	1.17	0.043	45.73	83
F	-0.441	-1.841	22	0	60	0	1.22	0.404	26.74	64
F	1.968	-1.968	115	8.601	60	0	1.03	0.117	92.73	99
F	-0.9	-1.383	28	2.793	59.67	0	1.08	2.16	24.75	62
F	0.559	0.81	116	8.067	60	0	1.1	2.104	98.73	99
F	0.304	1.774	173	0	60	0	14.58	0.435	2186.73	99
F	1.753	2.689	173	3.692	59.91	-1.066	16.23	0.946	2563.73	99
F	1.014	0.996	120	0	59.98	0	1.34	0.728	137.73	99
F	1.66	-1.92	67	0	60	0	2.29	0.141	132.73	99
F	2.241	0.674	395	5.859	59.91	-0.979	18.82	1.026	5307.73	99
F	0.456	0.38	103	0	59.92	-2.916	0.56	0.404	54.73	92
F	0.407	-7.21	153	13.386	58.21	-9.975	3.35	0.117	461.73	99
F	1.146	-4.85	125	0.839	60	0	5.08	0.576	604.73	99
F	-0.053	-1.092	64	3.41	57.44	-3.863	0.53	1.065	32.73	70
F	2.711	-1.313	225	0	60	0	28.47	1.389	9971.73	99
F	-1.603	-0.453	291	1.065	59.98	0	0.44	0.807	84.73	99
F	0.087	-4.263	66	1.534	60	0	0.22	0.368	13.91	51
F	-1.811	-0.895	328	2.278	60	0	0.19	0.492	54.73	92
F	0.256	-1.175	38	0	60	0	2.02	0.646	66.73	99
F	-1.657	0	64	0	60	0	1.16	0.914	64.73	99
F	-0.414	1.803	50	0	60	0	29.69	0.733	2292.73	99
F	-0.028	-1.211	44	2.758	60	0	1.24	0.169	44.73	82
F	0.172	-0.294	100	0	60	0	0.3	0.487	23.75	61
F	-0.873	-2.143	81	0	56.71	-7.275	14.45	0.654	1040.73	99
F	-0.558	0.527	94	0	60	0	1.27	0.903	96.73	99
F	1.537	0.739	21	4.472	60	0	3.7	0.061	51.73	89
F	1.416	0.076	155	3.34	57.75	-10.623	0.7	1.373	101.73	99
F	-0.183	-1.709	41	0	58.41	-3.427	17.43	0.836	714.73	99
F	0.263	-0.458	48	5.935	60	0	3.28	2.655	91.73	99
T	1.238	-0.016	33	0	60	0	29.85	2.235	1281.73	99
T	-0.213	-0.837	82	0	59.86	0	35.6	0.914	1608.73	99
T	1.242	-1.007	47	0	60	0	31.95	1.371	1420.73	99
T	-0.319	0.705	9	0	60	0	34.13	2.303	204.77	21
T	0.386	-0.295	101	0	60	0	34.56	0.892	3352.73	99
T	0.179	-1.935	47	0	60	0	34.15	0.737	1536.73	99
T	-0.319	0.705	13	0	60	0	20.14	0.631	241.73	99
T	-1.451	-0.084	2	0	60	0	26.85	2.303	53.7	6
T	-0.205	0.984	79	7.846	60	0	13.39	1.819	990.73	99
T	0.917	0.296	36	0	60	0	8.66	1.244	207.73	99
T	-1.204	0.548	37	0	59.55	0	25.97	1.708	844.73	97
T	-0.948	-4.919	166	0	60	0	15.59	0.689	1855.73	99
T	-0.078	1.395	110	2.489	60	0	15.74	0.987	1731.73	99
T	-9.104	-1.218	366	0	60	0	20.16	0.67	6855.73	99
T	-0.863	0	14	0	60	0	27.91	0.473	390.73	90
T	0.616	-4.649	87	0	60	0	9.5	0.741	788.73	99
T	-1.167	0.145	30	0	60	0	33.2	0.257	922.82	17
T	-1.375	-0.492	46	10.098	60	0	14.21	0.033	511.73	99
